id,Trans_id,stations,color,walktime,description
33,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,"JFK / UMass"
33,1,",Red,Line",#DA1721,11,"JFK / UMass"
33,2,",8,16,41",#F5C00E,11,"JFK / UMass"
34,0,",Fairmount,Line",#B933AD,7,"Four Corners/Geneva"
34,1,",14,22,28,29,45",#F5C00E,3,"Blue Hill Ave opp McLellan St"
34,2,",16",#F5C00E,3,"Old Rd @ Ellington St"
35,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,"JFK / UMass"
35,1,",Red,Line",#DA1721,11,"JFK / UMass"
35,2,",8,16,41",#F5C00E,11,"JFK / UMass"
36,0,",Fairmount,Line,Franklin,Line",#8E44AD,9,"Uphams Corner"
36,1,",Kingston,Line,Greenbush,Line,Middleborough/Lakeville,Line",#8E44AD,12,"JFK / UMass"
36,2,",Red,Line",#DA1721,12,"JFK / UMass"
36,3,",8,,16,41,Red,Line,Shuttle",#F5C00E,12,"JFK / UMass"
37,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,"JFK / UMass"
37,1,",Red,Line",#DA1721,11,"JFK / UMass"
37,2,",8,16,41",#F5C00E,11,"JFK / UMass"
38,0,",Red,Line",#DA1721,8,Andrew
38,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
38,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,"JFK / UMass"
38,3,",8,41,16",#F5C00E,14,"JFK / UMass"
39,0,",Framingham/Worcester,Line",#8E44AD,12,"Boston Landing"
39,1,",64,66,501",#F5C00E,1,"Cambridge St @ Linden St"
39,2,",57",#F5C00E,4,"Brighton Ave @ Linden St"
40,0,",Red,Line",#DA1721,8,Andrew
40,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
40,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,"JFK / UMass"
40,3,",8,41,16",#F5C00E,14,"JFK / UMass"
41,0,",Red,Line",#EC211F,8,Porter
41,1,",Fitchburg,Line",#B933AD,8,Porter
41,2,",88,89",#F5C00E,2,"Highland Ave @ Willow Ave"
41,3,",87,88,89,90,94,96",#F5C00E,10,Davis
42,0,",Orange,Line",#EB841E,8,"Stony Brook"
42,1,",42",#F5C00E,1,"Washington St @ School St"
42,2,",22,29,44",#F5C00E,2,"Columbus Ave @ Weld Ave"
43,0,",Red,Line",#EC211F,8,Porter
43,1,",Fitchburg,Line",#B933AD,8,Porter
43,2,",88,89",#F5C00E,2,"Highland Ave @ Willow Ave"
43,3,",87,88,89,90,94,96",#F5C00E,10,Davis
44,0,",E",#00843D,5,"Fenwood Road"
44,1,",Orange,Line",#EB841E,10,"Roxbury Crossing"
44,2,",35,39,66",#F5C00E,4,"Huntington Ave opp Fenwood Rd"
45,0,",B",#00843D,16,"Boston College"
46,0,",B",#00843D,8,"Harvard Avenue"
46,1,",Framingham/Worcester",#8E44AD,12,"Boston Landing"
46,2,",64,66,501",#F5C00E,2,"Cambridge St @ Linden St"
47,0,",Fairmount/Franklin",#8E44AD,8,"Uphams Corner"
47,1,",Red,Line",#DA1721,15,"JFK / UMass"
47,2,",Greenbush/Kingston",#8E44AD,15,"JFK / UMass"
47,3,",Middleborough/Lakeville",#8E44AD,15,"JFK / UMass"
48,0,",Framingham/Worcester,Line",#8E44AD,12,"Boston Landing"
48,1,",64,66,501",#F5C00E,1,"Cambridge St @ Linden St"
48,2,",57",#F5C00E,4,"Brighton Ave @ Linden St"
